Склад,Количество Начальный остаток,Стоимость Начальный остаток,Количество приход,Стоимость приход,Количество расход,Стоимость расход,Себест,Цена продажи,Сумма продажи,Количество Конечный остаток,Стоимость Конечный остаток,Profit,profitPR,date
"Мясной продукт из свинины сырокопченый категории Б. Бекон ""Деревенский"", нарезка, в/у,0,1/10/Иней",12589.0,775759.34,21374.0,1317108.51,26988.0,1658494.53,60.79,70.2,1870483.12,6885.0,424267.43,214937.71,12.96,2022-06-01
"Мясное изделие колбасное варено-копченое категории Б. Колбаса Салями ""Финская"", нарезка, в/у, 0,15/8/Иней",970.0,61064.41,3514.0,222566.11,3365.0,212127.72,60.87,78.96,272880.42,1105.0,69988.47,61391.5,28.94,2022-07-01
"Мясное изделие колбасное варено-копченое категории Б. Колбаса Сервелат ""Иней"", нарезка, в/у, 0,15/8/Иней",2167.0,136419.3,4004.0,245023.82,3916.0,243197.57,61.08,76.15,300772.73,2067.0,126485.93,57575.16,23.67,2022-07-01
"Мясное изделие колбасное полукопченое категории Б. Колбаса ""Краковская"", 0,3/7/Иней",1468.0,170393.7,818.0,98479.89,1758.0,203818.58,113.48,142.05,252400.34,451.0,54327.93,48581.76,23.84,2022-07-01
"Мясное изделие колбасное полукопченое категории Б. Колбаса ""Чардаш"", 0,3/6Иней",1398.0,144137.92,1713.0,187148.85,1721.0,182312.14,102.94,120.47,212406.85,747.0,81603.02,30094.71,16.51,2022-07-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Домашняя из свинины"", мод/атм 0,3/7/Иней",484.0,93675.78,161.0,31336.96,330.0,60773.1,175.62,221.69,73874.2,308.0,59788.08,13101.1,21.56,2022-07-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Сальчичон""/Колбаса полусухая ""Тоскана"", нарезка, мод/атм, 0,1 (2*0,05) 14/Иней",3481.0,232957.26,824.0,57439.81,2453.0,163366.27,63.84,81.22,204966.95,1840.0,125444.66,41795.88,25.58,2022-07-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Северная Салями"",нарезка,  в/у, 0,1/8/Иней",2318.0,153574.44,2200.0,153282.8,3947.0,267076.81,66.68,84.48,333628.55,570.0,39714.18,66551.74,24.92,2022-07-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Чоризо""/Колбаса полусухая ""Милано"", нарезка, мод/атм, 0,1 (2*0,05) 14/Иней",3255.0,211750.78,1837.0,122387.46,2095.0,135181.79,62.26,82.11,177731.18,2956.0,195182.55,42549.39,31.48,2022-07-01
"Мясной продукт из свинины сырокопченый категории А. ""Балык"", нарезка, в/у,0,1/10/Иней",267.0,20079.48,1404.0,114777.34,988.0,78457.03,71.84,96.37,103147.2,679.0,55756.75,24690.17,31.47,2022-07-01
"Мясной продукт из свинины сырокопченый категории Б. ""Бекон"", нарезка, в/у,0,1/10/Иней",5437.0,368619.39,1300.0,88159.5,4326.0,293276.92,67.3,82.18,355146.91,2410.0,163434.15,61869.99,21.1,2022-07-01
"Мясной продукт из свинины сырокопченый категории Б. ""Шейка"", нарезка, в/у,0,1/10/Иней",3291.0,253222.79,1003.0,77173.06,3684.0,283232.73,75.57,91.55,340887.29,606.0,46628.06,57654.56,20.36,2022-07-01
"Мясной продукт из свинины сырокопченый категории Б. Бекон ""Деревенский"", нарезка, в/у,0,1/10/Иней",12589.0,775759.34,6146.0,378728.73,13144.0,807124.93,60.74,69.9,909927.5,5576.0,343604.28,102802.57,12.74,2022-07-01
"Мясное изделие колбасное варено-копченое категории Б. Колбаса Салями ""Финская"", нарезка, в/у, 0,15/8/Иней",725.0,45664.83,4612.0,290554.15,5315.0,333958.29,61.67,79.0,426244.45,9.0,566.87,92286.16,27.63,2022-08-01
"Мясное изделие колбасное варено-копченое категории Б. Колбаса Сервелат ""Иней"", нарезка, в/у, 0,15/8/Иней",369.0,22616.73,4805.0,294508.12,4052.0,248048.71,60.36,77.04,315633.18,1110.0,68034.09,67584.47,27.25,2022-08-01
"Мясное изделие колбасное полукопченое категории Б. Колбаса ""Краковская"", 0,3/7/Иней",142.0,16989.87,1813.0,216920.0,1477.0,176718.6,116.64,140.17,210743.38,465.0,55635.87,34024.78,19.25,2022-08-01
"Мясное изделие колбасное полукопченое категории Б. Колбаса ""Чардаш"", 0,3/6Иней",72.0,7849.91,2605.0,283971.05,2485.0,270780.84,106.93,128.46,324636.21,177.0,19295.96,53855.37,19.89,2022-08-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Домашняя из свинины"", мод/атм 0,3/7/Иней",285.0,53066.17,435.0,80995.7,538.0,99987.81,169.77,205.03,119211.0,181.0,33701.66,19223.19,19.23,2022-08-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Сальчичон""/Колбаса полусухая ""Тоскана"", нарезка, мод/атм, 0,1 (2*0,05) 14/Иней",1743.0,120282.4,1808.0,124757.23,3032.0,209089.48,67.75,83.98,254855.86,517.0,35674.53,45766.38,21.89,2022-08-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Северная Салями"",нарезка,  в/у, 0,1/8/Иней",2646.0,184095.45,5840.0,406318.0,7404.0,515133.3,68.9,83.6,624309.36,1078.0,75001.85,109176.06,21.19,2022-08-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Чоризо""/Колбаса полусухая ""Милано"", нарезка, мод/атм, 0,1 (2*0,05) 14/Иней",1619.0,107904.74,5385.0,358911.71,5413.0,357298.45,64.66,82.7,459003.35,1582.0,105439.3,101704.9,28.46,2022-08-01
"Мясной продукт из свинины сырокопченый категории А. ""Балык"", нарезка, в/у,0,1/10/Иней",618.0,57300.74,803.0,60292.06,1334.0,110836.02,77.52,90.77,125139.8,84.0,6307.06,14303.78,12.91,2022-08-01
"Мясной продукт из свинины сырокопченый категории Б. ""Бекон"", нарезка, в/у,0,1/10/Иней",2864.0,193150.97,7150.0,482203.15,7499.0,505672.6,66.75,79.42,594418.8,2512.0,169411.76,88746.2,17.55,2022-08-01
"Мясной продукт из свинины сырокопченый категории Б. ""Шейка"", нарезка, в/у,0,1/10/Иней",1948.0,150027.2,3102.0,238903.57,3299.0,253921.84,75.64,91.38,304280.13,1741.0,134084.85,50358.29,19.83,2022-08-01
"Мясной продукт из свинины сырокопченый категории Б. Бекон ""Деревенский"", нарезка, в/у,0,1/10/Иней",5789.0,392796.56,11602.0,786406.76,13761.0,932612.56,67.01,76.61,1049492.15,3624.0,246048.52,116879.59,12.53,2022-08-01
"Мясное изделие колбасное варено-копченое категории Б. Колбаса Салями ""Финская"", нарезка, в/у, 0,15/8/Иней",671.0,46470.8,3610.0,227429.58,3521.0,225194.31,62.64,79.78,285353.12,725.0,45664.83,61111.73,27.14,2022-09-01
"Мясное изделие колбасное варено-копченое категории Б. Колбаса Сервелат ""Иней"", нарезка, в/у, 0,15/8/Иней",1916.0,117456.57,3109.0,190599.84,4019.0,246051.45,59.83,77.12,311383.87,369.0,22616.73,70693.72,28.73,2022-09-01
"Мясное изделие колбасное полукопченое категории Б. Колбаса ""Краковская"", 0,3/7/Иней",1128.0,134986.6,1113.0,133182.67,1464.0,175189.7,115.82,139.05,207894.27,142.0,16989.87,36095.53,20.6,2022-09-01
"Мясное изделие колбасное полукопченое категории Б. Колбаса ""Чардаш"", 0,3/6Иней",405.0,48540.15,1800.0,196218.0,2131.0,236668.86,109.13,129.51,280001.44,72.0,7849.91,44891.38,18.97,2022-09-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Домашняя из свинины"", мод/атм 0,3/7/Иней",125.0,23281.34,714.0,132944.67,554.0,103159.84,171.31,206.61,122826.64,285.0,53066.17,19666.8,19.06,2022-09-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Сальчичон""/Колбаса полусухая ""Тоскана"", нарезка, мод/атм, 0,1 (2*0,05) 14/Иней",1055.0,72894.53,3223.0,222471.53,2531.0,174601.04,66.75,83.0,213792.43,1743.0,120282.4,39191.39,22.45,2022-09-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Северная Салями"",нарезка,  в/у, 0,1/8/Иней",2113.0,153046.69,5002.0,348036.35,4468.0,316778.47,69.92,87.13,392163.41,2646.0,184095.45,75713.66,23.9,2022-09-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Чоризо""/Колбаса полусухая ""Милано"", нарезка, мод/атм, 0,1 (2*0,05) 14/Иней",1561.0,104857.52,6048.0,403108.55,5990.0,396327.75,65.65,83.63,508953.45,1619.0,107904.74,112625.7,28.42,2022-09-01
"Мясной продукт из свинины сырокопченый категории А. ""Балык"", нарезка, в/у,0,1/10/Иней",375.0,28165.5,901.0,78556.15,657.0,49270.85,68.93,98.32,68708.1,618.0,57300.74,19437.25,39.45,2022-09-01
"Мясной продукт из свинины сырокопченый категории Б. ""Бекон"", нарезка, в/у,0,1/10/Иней",3193.0,215374.28,6602.0,445245.49,6941.0,468008.31,66.45,77.46,539000.08,2864.0,193150.97,73132.65,15.63,2022-09-01
"Мясной продукт из свинины сырокопченый категории Б. ""Шейка"", нарезка, в/у,0,1/10/Иней",791.0,60919.65,4702.0,362129.09,3539.0,272405.69,75.51,90.85,326437.51,1948.0,150027.2,54031.82,19.84,2022-09-01
"Мясной продукт из свинины сырокопченый категории Б. Бекон ""Деревенский"", нарезка, в/у,0,1/10/Иней",4544.0,308407.95,13207.0,895184.55,11954.0,809797.71,66.31,75.99,908329.37,5789.0,392796.56,106121.66,13.1,2022-09-01
"Мясное изделие колбасное варено-копченое категории Б. Колбаса Салями ""Финская"", нарезка, в/у, 0,15/8/Иней",7.0,484.8,5054.0,349936.29,4365.0,301435.23,67.46,86.14,382822.99,671.0,46470.8,81582.6,27.06,2022-10-01
"Мясное изделие колбасное варено-копченое категории Б. Колбаса Сервелат ""Иней"", нарезка, в/у, 0,15/8/Иней",586.0,39410.9,5840.0,379433.12,4509.0,301326.15,65.99,82.3,373257.05,1916.0,117456.57,71930.9,23.87,2022-10-01
"Мясное изделие колбасное полукопченое категории Б. Колбаса ""Краковская"", 0,3/7/Иней",5.0,653.57,4116.0,519074.25,2986.0,383837.27,126.14,148.36,451238.09,1128.0,134986.6,67400.82,17.56,2022-10-01
"Мясное изделие колбасное полукопченое категории Б. Колбаса ""Чардаш"", 0,3/6Иней",11.0,1381.88,2714.0,324819.61,2307.0,275953.02,116.99,139.8,329210.02,405.0,48540.15,53527.54,19.4,2022-10-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Домашняя из свинины"", мод/атм 0,3/7/Иней",50.0,9689.9,493.0,91801.83,427.0,79876.92,169.71,213.68,102734.68,125.0,23281.34,22857.76,28.62,2022-10-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Сальчичон""/Колбаса полусухая ""Тоскана"", нарезка, мод/атм, 0,1 (2*0,05) 14/Иней",1121.0,77241.4,3169.0,230377.04,3229.0,221294.66,69.25,87.45,275258.9,1055.0,72894.53,53964.24,24.39,2022-10-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Северная Салями"",нарезка,  в/у, 0,1/8/Иней",858.0,65612.98,5441.0,407538.59,4183.0,319812.84,75.52,89.6,379892.02,2113.0,153046.69,60245.58,18.84,2022-10-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Чоризо""/Колбаса полусухая ""Милано"", нарезка, мод/атм, 0,1 (2*0,05) 14/Иней",1819.0,121154.5,2453.0,170185.58,2704.0,185789.68,67.37,87.4,241206.87,1561.0,104857.52,55417.19,29.83,2022-10-01
"Мясной продукт из свинины сырокопченый категории А. ""Балык"", нарезка, в/у,0,1/10/Иней",500.0,37476.01,903.0,70046.75,1025.0,78864.56,72.5,96.49,104072.1,375.0,28165.5,25207.54,31.96,2022-10-01
"Мясной продукт из свинины сырокопченый категории Б. ""Бекон"", нарезка, в/у,0,1/10/Иней",662.0,44645.9,7102.0,492508.45,4567.0,321374.67,69.35,84.87,390610.26,3193.0,215374.28,69400.87,21.6,2022-10-01
"Мясной продукт из свинины сырокопченый категории Б. ""Шейка"", нарезка, в/у,0,1/10/Иней",807.0,68301.23,3055.0,250523.51,3065.0,257051.03,82.49,96.48,299113.06,791.0,60919.65,42062.03,16.36,2022-10-01
"Мясной продукт из свинины сырокопченый категории Б. Бекон ""Деревенский"", нарезка, в/у,0,1/10/Иней",5592.0,363070.2,10300.0,698154.6,11341.0,752342.37,65.9,77.36,868120.2,4544.0,308407.95,115777.83,15.39,2022-10-01
"Мясное изделие колбасное варено-копченое категории Б. Колбаса Салями ""Финская"", нарезка, в/у, 0,15/8/Иней",978.0,61578.8,2814.0,184745.48,3756.0,243103.25,62.9,84.35,323555.34,7.0,484.8,84690.17,34.84,2022-11-01
"Мясное изделие колбасное варено-копченое категории Б. Колбаса Сервелат ""Иней"", нарезка, в/у, 0,15/8/Иней",1887.0,115367.4,4416.0,279773.65,5719.0,354871.08,60.79,80.72,468453.81,586.0,39410.9,115599.33,32.58,2022-11-01
"Мясное изделие колбасное полукопченое категории Б. Колбаса ""Краковская"", 0,3/7/Иней",615.0,73082.28,1904.0,240561.55,2504.0,311801.93,122.6,149.54,376931.84,5.0,653.57,65129.91,20.89,2022-11-01
"Мясное изделие колбасное полукопченое категории Б. Колбаса ""Чардаш"", 0,3/6Иней",395.0,42980.73,1308.0,146701.6,1640.0,181985.05,107.3,136.86,230869.36,11.0,1381.88,51451.65,28.27,2022-11-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Домашняя из свинины"", мод/атм 0,3/7/Иней",104.0,20154.98,105.0,20348.79,159.0,27906.91,152.27,232.25,37285.82,50.0,9689.9,9378.91,33.61,2022-11-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Сальчичон""/Колбаса полусухая ""Тоскана"", нарезка, мод/атм, 0,1 (2*0,05) 14/Иней",1983.0,136636.63,1408.0,96999.31,2262.0,152846.58,66.16,87.64,199032.55,1121.0,77241.4,46185.97,30.22,2022-11-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Северная Салями"",нарезка,  в/у, 0,1/8/Иней",3138.0,218153.76,4004.0,289481.28,6300.0,442856.3,69.46,87.86,555288.3,858.0,65612.98,115316.96,26.04,2022-11-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Чоризо""/Колбаса полусухая ""Милано"", нарезка, мод/атм, 0,1 (2*0,05) 14/Иней",774.0,51552.27,4215.0,280738.52,3169.0,211006.19,65.75,87.7,281982.89,1819.0,121154.5,70976.7,33.64,2022-11-01
"Мясной продукт из свинины сырокопченый категории А. ""Балык"", нарезка, в/у,0,1/10/Иней",447.0,33503.57,610.0,45776.57,548.0,40268.34,64.24,92.59,56541.26,500.0,37476.01,16752.92,41.6,2022-11-01
"Мясной продукт из свинины сырокопченый категории Б. ""Бекон"", нарезка, в/у,0,1/10/Иней",1269.0,85582.65,3505.0,236382.58,4128.0,278057.81,66.05,89.3,373364.44,662.0,44645.9,98894.23,35.57,2022-11-01
"Мясной продукт из свинины сырокопченый категории Б. ""Шейка"", нарезка, в/у,0,1/10/Иней",1314.0,101104.42,2502.0,200205.88,3015.0,233316.86,75.7,98.01,298979.24,807.0,68301.23,67260.46,28.83,2022-11-01
"Мясной продукт из свинины сырокопченый категории Б. Бекон ""Деревенский"", нарезка, в/у,0,1/10/Иней",7501.0,462226.62,13015.0,820490.31,15020.0,924638.13,60.27,73.46,1101899.05,5592.0,363070.2,193958.92,20.98,2022-11-01
"Мясное изделие колбасное варено-копченое категории Б. Колбаса Салями ""Финская"", нарезка, в/у, 0,15/8/Иней",970.0,61064.41,10337.0,657008.3,10255.0,648707.44,61.65,80.8,840938.42,978.0,61578.8,192943.78,29.74,2022-12-01
"Мясное изделие колбасное варено-копченое категории Б. Колбаса Сервелат ""Иней"", нарезка, в/у, 0,15/8/Иней",2167.0,136419.3,11752.0,719040.02,11808.0,724847.95,60.16,76.5,912262.18,1887.0,115367.4,187414.23,25.86,2022-12-01
"Мясное изделие колбасное полукопченое категории Б. Колбаса ""Краковская"", 0,3/7/Иней",1468.0,170393.7,2007.0,239755.72,2676.0,312945.17,113.86,148.17,394189.02,615.0,73082.28,81243.85,25.96,2022-12-01
"Мясное изделие колбасное полукопченое категории Б. Колбаса ""Чардаш"", 0,3/6Иней",1398.0,144137.92,5048.0,550035.61,5387.0,580343.87,105.44,125.75,688197.47,395.0,42980.73,107853.6,18.58,2022-12-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Домашняя из свинины"", мод/атм 0,3/7/Иней",484.0,93675.78,715.0,143227.15,1075.0,208211.22,184.4,228.52,253270.86,104.0,20154.98,45059.64,21.64,2022-12-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Сальчичон""/Колбаса полусухая ""Тоскана"", нарезка, мод/атм, 0,1 (2*0,05) 14/Иней",3481.0,232957.26,5060.0,349262.81,6468.0,437215.6,65.34,82.74,541223.17,1983.0,136636.63,104202.77,23.83,2022-12-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Северная Салями"",нарезка,  в/у, 0,1/8/Иней",2318.0,153574.44,10085.0,701901.57,9261.0,636705.88,68.05,87.17,801483.43,3138.0,218153.76,164777.55,25.88,2022-12-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Чоризо""/Колбаса полусухая ""Милано"", нарезка, мод/атм, 0,1 (2*0,05) 14/Иней",3255.0,211750.78,7115.0,475661.76,9565.0,625501.82,64.73,84.04,807230.03,774.0,51552.27,181728.21,29.05,2022-12-01
"Мясной продукт из свинины сырокопченый категории А. ""Балык"", нарезка, в/у,0,1/10/Иней",267.0,20079.48,2212.0,175425.47,2010.0,159164.11,73.24,98.31,208216.94,447.0,33503.57,49052.83,30.82,2022-12-01
"Мясной продукт из свинины сырокопченый категории Б. ""Бекон"", нарезка, в/у,0,1/10/Иней",5437.0,368619.39,5810.0,392364.27,9964.0,673777.84,67.07,86.38,856518.47,1269.0,85582.65,182751.41,27.12,2022-12-01
"Мясной продукт из свинины сырокопченый категории Б. ""Шейка"", нарезка, в/у,0,1/10/Иней",3291.0,253222.79,6019.0,463124.14,7971.0,611860.57,75.19,91.94,740943.69,1314.0,101104.42,129083.12,21.1,2022-12-01
"Мясной продукт из свинины сырокопченый категории Б. Бекон ""Деревенский"", нарезка, в/у,0,1/10/Иней",12589.0,775759.34,37582.0,2315877.89,42325.0,2603098.15,60.87,70.37,2937647.66,7501.0,462226.62,337498.63,12.97,2022-12-01
