Склад,Количество Начальный остаток,Стоимость Начальный остаток,Количество приход,Стоимость приход,Количество расход,Стоимость расход,Себест,Цена продажи,Сумма продажи,Количество Конечный остаток,Стоимость Конечный остаток,Profit,profitPR,date
"Мясной продукт из свинины сырокопченый категории Б. ""Шейка"", нарезка, в/у,0,1/10/Иней",677.0,42894.72,2816.0,178421.8,3226.0,203385.56,61.39,77.45,251887.0,244.0,15459.88,48501.44,23.85,2021-03-01
"Мясной продукт из свинины сырокопченый категории Б. Бекон ""Деревенский"", нарезка, в/у,0,1/10/Иней",3039.0,168482.16,12302.0,682022.88,10745.0,595591.92,54.67,68.87,743568.12,4593.0,254635.92,147976.2,24.85,2021-03-01
"Мясное изделие колбасное варено-копченое категории Б. Колбаса Салями ""Финская"", нарезка, в/у, 0,15/8/Иней",1359.0,73250.1,3911.0,210802.9,4380.0,235704.7,52.8,68.58,300426.24,885.0,47701.5,64721.54,27.46,2021-04-01
"Мясное изделие колбасное варено-копченое категории Б. Колбаса Сервелат ""Иней"", нарезка, в/у, 0,15/8/Иней",61.0,3287.9,3723.0,201774.42,3545.0,190754.85,52.92,71.36,250042.04,229.0,13174.37,59287.19,31.08,2021-04-01
"Мясное изделие колбасное полукопченое категории Б. Колбаса ""Краковская"", 0,3/7/Иней",735.0,79313.85,408.0,53945.93,1000.0,116314.57,116.16,137.74,137412.97,143.0,16689.53,21098.4,18.14,2021-04-01
"Мясное изделие колбасное полукопченое категории Б. Колбаса ""Чардаш"", 0,3/6Иней",1362.0,131392.14,5424.0,556519.28,5749.0,577508.03,97.38,122.82,718649.28,1016.0,106060.24,141141.25,24.44,2021-04-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Домашняя из свинины"", мод/атм 0,3/7/Иней",617.0,93253.38,205.0,30985.72,510.0,76777.1,144.35,193.84,96667.19,312.0,47157.7,19890.09,25.91,2021-04-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Сальчичон""/Колбаса полусухая ""Тоскана"", нарезка, мод/атм, 0,1 (2*0,05) 14/Иней",988.0,59778.7,1612.0,99826.32,1763.0,107653.01,59.05,76.52,134321.7,835.0,51711.55,26668.69,24.77,2021-04-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Северная Салями"",нарезка,  в/у, 0,1/8/Иней",1494.0,86935.86,2619.0,152399.99,2077.0,119755.02,56.85,81.91,158094.22,2035.0,118416.65,38339.2,32.01,2021-04-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Чоризо""/Колбаса полусухая ""Милано"", нарезка, мод/атм, 0,1 (2*0,05) 14/Иней",2714.0,150464.16,707.0,39196.08,3003.0,166098.24,54.41,71.21,210910.52,411.0,22785.84,44812.28,26.98,2021-04-01
"Мясной продукт из свинины сырокопченый категории А. ""Балык"", нарезка, в/у,0,1/10/Иней",2511.0,166912.8,1000.0,66480.0,3499.0,232528.56,65.7,79.35,276556.48,10.0,664.8,44027.92,18.93,2021-04-01
"Мясной продукт из свинины сырокопченый категории Б. ""Бекон"", нарезка, в/у,0,1/10/Иней",3289.0,189494.69,2851.0,165413.71,5916.0,341572.77,57.05,70.78,412516.88,223.0,13221.67,70944.11,20.77,2021-04-01
"Мясной продукт из свинины сырокопченый категории Б. ""Шейка"", нарезка, в/у,0,1/10/Иней",254.0,16093.48,3151.0,208571.76,2975.0,196561.38,65.28,80.47,234626.3,429.0,27953.64,38064.92,19.37,2021-04-01
"Мясной продукт из свинины сырокопченый категории Б. Бекон ""Деревенский"", нарезка, в/у,0,1/10/Иней",4867.0,269826.48,10554.0,585113.77,11967.0,663228.72,54.57,68.77,828564.89,3451.0,191323.44,165336.17,24.93,2021-04-01
"Мясное изделие колбасное варено-копченое категории Б. Колбаса Салями ""Финская"", нарезка, в/у, 0,15/8/Иней",885.0,47701.5,3953.0,234324.86,3857.0,223426.28,56.25,70.07,274947.97,972.0,57629.88,51521.69,23.06,2021-05-01
